,PARCEL_NUM,O_NAME,P_NAME,O_ADDR1,O_CITY,O_STATE,O_ZIP,O_CNTRY,SITE_ADDR,S_CITY,S_ZIP,PROP_TYPE,DEED_NUM,DEED_DATE,DEED_TYPE,LAND_FCV,LAND_ASSDV,IMPR_FCV,IMPR_ASSDV,TOTAL_FCV,TOTAL_FCAV,LPV,PUC,LAND_LCC,LAND_LCSC,IMPR_LCC,IMPR_LCSC,RENTAL_IND,prop_class,prop_class_desc,O_NAME_ONE,O_NAME_TWO,MultiplesFlag,In_list_corpo,Is_corpo,Is_top_corpo,north,south,east,west,lat,lng
4315,10290774,AMH 2014-1 BORROWER LLC,AMERICAN HOMES 4 RENT,23975 PARK SORRENTO,CALABASAS,CA,91302,USA,11308 W HAZELWOOD ST,PHOENIX,85037,RESIDENTIAL,140335625,5/23/14,SD,63400,6340,253700,25370,317100,31710,152497,131,4,2,4,2,Y,4.2,RENTAL/LEASED RESIDENTIAL,AMH 2014-1 BORROWER LLC,,Y,1,1,1,33.5031575,33.5030089,-112.3009078,-112.3011008,33.5030783,-112.3010156
4319,10290785,ARP PHOENIX FUND I LP,AMERICAN HOMES 4 RENT,23975 PARK SORRENTO,CALABASAS,CA,91302,USA,11334 W MEADOWBROOK AVE,PHOENIX,85037,RESIDENTIAL,110210405,3/10/11,WD,53800,5380,215200,21520,269000,26900,122709,131,4,2,4,2,Y,4.2,RENTAL/LEASED RESIDENTIAL,ARP PHOENIX FUND I LP,,Y,1,1,1,33.5023271,33.5021284,-112.3018285,-112.3019616,33.5022046,-112.3019004
4320,10290786,PROGRESS RESIDENTIAL BORROWER 14 LLC,PROGRESS RESIDENTIAL,PO BOX 4090,SCOTTSDALE,AZ,85261,USA,11330 W MEADOWBROOK AVE,PHOENIX,85037,RESIDENTIAL,200492810,6/8/20,SD,53700,5370,214800,21480,268500,26850,122245,131,4,2,4,2,Y,4.2,RENTAL/LEASED RESIDENTIAL,PROGRESS RESIDENTIAL BORROWER 14 LLC,,Y,1,1,1,33.5022866,33.5021313,-112.3016778,-112.3018206,33.5021894,-112.3017607
4324,10290800,AH4R PROPERTIES LLC,AMERICAN HOMES 4 RENT,23975 PARK SORRENTO,CALABASAS,CA,91302,USA,4636 N 113TH DR,PHOENIX,85037,RESIDENTIAL,150530392,7/23/15,0,52900,5290,211800,21180,264700,26470,119608,131,4,2,4,2,Y,4.2,RENTAL/LEASED RESIDENTIAL,AH4R PROPERTIES LLC,,Y,1,1,1,33.5031532,33.5030583,-112.3023453,-112.3025088,33.5031055,-112.3024127
4326,10290803,RH PARTNERS OWNERCO LLC,THE AMHERST GROUP,5001 PLAZA ON THE LAKE STE 200,AUSTIN,TX,78746,USA,4648 N 113TH DR,PHOENIX,85037,RESIDENTIAL,190896891,11/7/19,WD,48300,4830,193200,19320,241500,24150,103940,131,4,2,4,2,Y,4.2,RENTAL/LEASED RESIDENTIAL,RH PARTNERS OWNERCO LLC,,Y,1,1,1,33.50352,33.5034213,-112.3023595,-112.3025641,33.5034708,-112.3024593
4329,10290812,ARP 2014-1 BORROWER LLC,AMERICAN HOMES 4 RENT,23975 PARK SORRENTO,CALABASAS,CA,91302,USA,11325 W ELM ST,PHOENIX,85037,RESIDENTIAL,140570910,8/28/14,SD,45700,4570,182900,18290,228600,22860,93856,131,4,2,4,2,Y,4.2,RENTAL/LEASED RESIDENTIAL,ARP 2014-1 BORROWER LLC,,Y,1,1,1,33.5042797,33.5040961,-112.3019338,-112.3020915,33.5041823,-112.3019936
4331,10290818,2018-3 IH BORROWER LP,INVITATION HOMES,1717 MAIN ST SUITE 2000,DALLAS,TX,85201,USA,11225 W BRITTLEWOOD DR,PHOENIX,85037,RESIDENTIAL,180504459,7/2/18,SD,55600,5560,222500,22250,278100,27810,127520,131,4,2,4,2,Y,4.2,RENTAL/LEASED RESIDENTIAL,2018-3 IH BORROWER LP,,Y,1,1,1,33.5038576,33.5036977,-112.3011119,-112.3012957,33.5037913,-112.3012019
4335,10290825,PROGRESS RESIDENTIAL BORROWER 4 LLC,PROGRESS RESIDENTIAL,PO BOX 4090,SCOTTSDALE,AZ,85261,USA,11161 W BRITTLEWOOD DR,PHOENIX,85037,RESIDENTIAL,180589514,8/3/18,SD,55500,5550,222200,22220,277700,27770,127209,131,4,2,4,2,Y,4.2,RENTAL/LEASED RESIDENTIAL,PROGRESS RESIDENTIAL BORROWER 4 LLC,,Y,1,1,1,33.5037418,33.503572,-112.299987,-112.3001904,33.5036698,-112.3000842
4337,10290832,ARP 2014-1 BORROWER LLC,AMERICAN HOMES 4 RENT,23975 PARK SORRENTO,CALABASAS,CA,91302,USA,11133 W BRITTLEWOOD DR,PHOENIX,85037,RESIDENTIAL,140570910,8/28/14,SD,47800,4780,191500,19150,239300,23930,104249,131,4,2,4,2,Y,4.2,RENTAL/LEASED RESIDENTIAL,ARP 2014-1 BORROWER LLC,,Y,1,1,1,33.5041957,33.5039836,-112.2990552,-112.2992772,33.504095,-112.2991528
4339,10291005,2017-1 IH BORROWER LP,INVITATION HOMES,8665 E  HARTFORD DR STE 200,SCOTTSDALE,AZ,85255,USA,8346 W CYPRESS ST,PHOENIX,85037,RESIDENTIAL,170314434,5/1/17,SD,44800,4480,179200,17920,224000,22400,78838,131,4,2,4,2,Y,4.2,RENTAL/LEASED RESIDENTIAL,2017-1 IH BORROWER LP,,Y,1,1,1,33.4723571,33.4722055,-112.2398102,-112.2399463,33.4722725,-112.2398687
