,index,PARCEL_NUM,O_NAME,O_ADDR1,O_CITY,O_STATE,O_ZIP,O_CNTRY,SITE_ADDR,S_CITY,S_ZIP,PROP_TYPE,DEED_NUM,DEED_DATE,DEED_TYPE,LAND_FCV,LAND_ASSDV,IMPR_FCV,IMPR_ASSDV,TOTAL_FCV,TOTAL_FCAV,LPV,PUC,LAND_LCC,LAND_LCSC,IMPR_LCC,IMPR_LCSC,RENTAL_IND,prop_class,prop_class_desc,O_NAME_ONE,O_NAME_TWO,MultiplesFlag,In_list_corpo,P_ORG,Is_top_corpo
41,84,10217410,2017-2 IH BORROWER LP,1717 MAIN ST STE 2000,DALLAS,TX,75201,USA,10322 W CALLE DEL ORO,PHOENIX,85037,RESIDENTIAL,170842995,14-NOV-2017,SD,47600,4760,190600,19060,238200,23820,75938,131,4.0,2,4.0,2,Y,4.2,RENTAL/LEASED RESIDENTIAL,2017-2 IH BORROWER LP,,Y,1,INVITATION HOMES,1
42,85,10217413,PROGRESS RESIDENTIAL BORROWER 15 LLC,PO BOX 4090,SCOTTSDALE,AZ,85261,USA,10308 W CALLE DEL ORO,PHOENIX,85037,RESIDENTIAL,201190436,03-DEC-2020,SD,47200,4720,189100,18910,236300,23630,72867,131,4.0,2,4.0,2,Y,4.2,RENTAL/LEASED RESIDENTIAL,PROGRESS RESIDENTIAL BORROWER 15 LLC,,Y,1,PROGRESS RESIDENTIAL,1
43,86,10217421,WIRELESS DEVICES INC,9327 W BENNET PL,PHOENIX,AZ,85037,USA,10401 W CALLE DE EDENS,PHOENIX,85037,RESIDENTIAL,110993089,01-DEC-2011,TD,47100,4710,188700,18870,235800,23580,73036,131,4.0,2,4.0,2,Y,4.2,RENTAL/LEASED RESIDENTIAL,WIRELESS DEVICES INC,,Y,1,WIRELESS DEVICES INC,0
44,88,10217434,VM MASTER ISSUER LLC,5001 PLAZA ON THE LAKE SUITE 200,AUSTIN,TX,78746,USA,10412 W CALLE DE EDENS,PHOENIX,85037,RESIDENTIAL,220318550,11-APR-2022,SD,53100,5310,212500,21250,265600,26560,79692,131,4.0,2,4.0,2,Y,4.2,RENTAL/LEASED RESIDENTIAL,VM MASTER ISSUER LLC,,Y,1,THE AMHERST GROUP LLC,1
45,94,10217558,LIVINGSTON ACQUISITIONS I LLC,4543 W MARSHALL AVE,GLENDALE,AZ,85301,USA,10339 W MINNEZONA AVE,PHOENIX,85037,RESIDENTIAL,120596454,09-JUL-2012,WD,42800,4280,171500,17150,214300,21430,66894,131,4.0,2,4.0,2,Y,4.2,RENTAL/LEASED RESIDENTIAL,LIVINGSTON ACQUISITIONS I LLC,,Y,1,,0
46,96,10217569,BAF 3 LLC,5001 PLAZA ON THE LK STE 200,AUSTIN,TX,78746,USA,10347 W HAZELWOOD AVE,PHOENIX,85037,RESIDENTIAL,211221940,15-NOV-2021,WD,52100,5210,208600,20860,260700,26070,79692,131,4.0,2,4.0,2,Y,4.2,RENTAL/LEASED RESIDENTIAL,BAF 3 LLC,,Y,1,THE AMHERST GROUP LLC,1
47,98,10217581,FRANK WEST CAPITAL LLC,4365 E PECOS RD SUITE 119,GILBERT,AZ,85295,USA,10320 W HAZELWOOD AVE,PHOENIX,85037,RESIDENTIAL,220560001,08-JUL-2022,WD,53000,5300,212100,21210,265100,26510,79521,131,4.0,2,4.0,2,Y,4.2,RENTAL/LEASED RESIDENTIAL,FRANK WEST CAPITAL LLC,,Y,1,FRANK WEST CAPITAL LLC,0
48,103,10217620,MTB INVEST LLC,1514 W 6TH ST,TEMPE,AZ,85281,USA,4642 N 105TH AVE,PHOENIX,85037,RESIDENTIAL,220548217,01-JUL-2022,WD,51100,5110,204400,20440,255500,25550,83789,131,4.0,2,4.0,2,Y,4.2,RENTAL/LEASED RESIDENTIAL,MTB INVEST LLC,,Y,1,MTB INVEST LLC,0
49,106,10217630,MCH SFR PROPERTY OWNER 3 LLC,14355 COMMERCE WAY,MIAMI LAKES,FL,33016,USA,4524 N 105TH AVE,PHOENIX,85037,RESIDENTIAL,220255477,22-MAR-2022,SD,50600,5060,202400,20240,253000,25300,82252,131,4.0,2,4.0,2,Y,4.2,RENTAL/LEASED RESIDENTIAL,MCH SFR PROPERTY OWNER 3 LLC,,Y,1,MY COMMUNITY HOMES,1
50,109,10217645,RESI LABS PATHWAY HOMES BUYER LP,2121 N PEARL ST FL 3,DALLAS,TX,75201,USA,4441 N 102ND WY,PHOENIX,85037,RESIDENTIAL,220322349,12-APR-2022,WD,51100,5110,204700,20470,255800,25580,84812,131,4.0,2,4.0,2,Y,4.2,RENTAL/LEASED RESIDENTIAL,RESI LABS PATHWAY HOMES BUYER LP,,Y,1,PATHWAY HOMES,0
51,110,10217646,THR PHOENIX LP,8665 E HARTFORD DR STE 200,SCOTTSDALE,AZ,85255,USA,4437 N 102ND WY,PHOENIX,85037,RESIDENTIAL,170842994,14-NOV-2017,SD,54600,5460,218500,21850,273100,27310,94026,131,4.0,2,4.0,2,Y,4.2,RENTAL/LEASED RESIDENTIAL,THR PHOENIX LP,,Y,1,INVITATION HOMES,1
52,115,10217670,SFR ACQUISITIONS 1 LLC,6500 INTERNATIONAL PKWY STE 1100,PLANO,TX,75093,USA,10221 W TURNEY AVE,PHOENIX,85037,RESIDENTIAL,211201774,09-NOV-2021,WD,58000,5800,232300,23230,290300,29030,96415,131,4.0,2,4.0,2,Y,4.2,RENTAL/LEASED RESIDENTIAL,SFR ACQUISITIONS 1 LLC,,Y,1,HOME PARTNERS / PATHLIGHT PROPERTY MANAGEMENT,1
53,116,10217683,PHOENICIAN INVESTMENT GROUP LLC,1006 W ADAMS ST,PHOENIX,AZ,85007,USA,10208 W AVENIDA CORDONIZ,PHOENIX,85037,RESIDENTIAL,111015955,09-DEC-2011,QD,65800,6580,263500,26350,329300,32930,113822,131,4.0,2,4.0,2,Y,4.2,RENTAL/LEASED RESIDENTIAL,PHOENICIAN INVESTMENT GROUP LLC,,Y,1,PHOENICIAN INVESTMENT GROUP LLC,0
54,117,10217687,4G INVESTMENTS LLC,7310 W ROOSEVELT ST NO 14,PHOENIX,AZ,85043,USA,10215 W AVENIDA CORDONIZ,PHOENIX,85037,RESIDENTIAL,090646483,14-JUL-2009,QD,58700,5870,234900,23490,293600,29360,98292,131,4.0,2,4.0,2,Y,4.2,RENTAL/LEASED RESIDENTIAL,4G INVESTMENTS LLC,,Y,1,4G INVESTMENTS LLC,0
55,119,10217694,YAMASA CO LTD,PO BOX 4090,SCOTTSDALE,AZ,85261,USA,4222 N 101ST AVE,PHOENIX,85037,RESIDENTIAL,190271868,17-APR-2019,WD,54000,5400,216100,21610,270100,27010,93515,131,4.0,2,4.0,2,Y,4.2,RENTAL/LEASED RESIDENTIAL,YAMASA CO LTD,,Y,1,YAMASA CORPORATION,1
56,120,10217700,2018-3 IH BORROWER LP,1717 MAIN ST SUITE 2000,DALLAS,TX,85201,USA,10108 W GLENROSA AVE,PHOENIX,85037,RESIDENTIAL,180504461,02-JUL-2018,SD,53200,5320,212900,21290,266100,26610,84642,131,4.0,2,4.0,2,Y,4.2,RENTAL/LEASED RESIDENTIAL,2018-3 IH BORROWER LP,,Y,1,INVITATION HOMES,1
57,121,10217704,PROGRESS RESIDENTIAL BORROWER 5 LLC,PO BOX 4090,SCOTTSDALE,AZ,85261,USA,10115 W AVENIDA CORDONIZ,PHOENIX,85037,RESIDENTIAL,180756876,09-OCT-2018,SD,52200,5220,208900,20890,261100,26110,86518,131,4.0,2,4.0,2,Y,4.2,RENTAL/LEASED RESIDENTIAL,PROGRESS RESIDENTIAL BORROWER 5 LLC,,Y,1,PROGRESS RESIDENTIAL,1
58,122,10217727,YAMASA CO LTD,PO BOX 4090,SCOTTSDALE,AZ,85261,USA,10107 W ROMA AVE,PHOENIX,85037,RESIDENTIAL,180716150,24-SEP-2018,WD,48400,4840,193700,19370,242100,24210,76449,131,4.0,2,4.0,2,Y,4.2,RENTAL/LEASED RESIDENTIAL,YAMASA CO LTD,,Y,1,YAMASA CORPORATION,1
59,123,10217736,STAR 2022-SFR3 BORROWER L P,591 W PUTNAM AVE,GREENWICH,CT,06830,USA,10115 W SELLS DR,PHOENIX,85037,RESIDENTIAL,220331437,14-APR-2022,SD,51300,5130,205400,20540,256700,25670,81911,131,4.0,2,4.0,2,Y,4.2,RENTAL/LEASED RESIDENTIAL,STAR 2022-SFR3 BORROWER LP,,Y,1,INVITATION HOMES,1
60,125,10217761,2018-3 IH BORROWER LP,1717 MAIN ST SUITE 2000,DALLAS,TX,85201,USA,4205 N 101ST AVE,PHOENIX,85037,RESIDENTIAL,180504461,02-JUL-2018,SD,53700,5370,215000,21500,268700,26870,92322,131,4.0,2,4.0,2,Y,4.2,RENTAL/LEASED RESIDENTIAL,2018-3 IH BORROWER LP,,Y,1,INVITATION HOMES,1
61,127,10217774,TAH 2018-1 BORROWER LLC,1508 BROOKHOLLOW DR,SANTA ANA,CA,92705,USA,4513 N 106TH AVE,PHOENIX,85037,RESIDENTIAL,180295535,19-APR-2018,SD,40000,4000,160300,16030,200300,20030,63993,131,4.0,2,4.0,2,Y,4.2,RENTAL/LEASED RESIDENTIAL,TAH 2018-1 BORROWER LLC,,Y,1,TRICON RESIDENTIAL,1
